"Origin","Destination","Speed","HOUR","DATE"
3,5,0.133333333333333,14,"2021-10-20"
3,6,0.116666666666667,14,"2021-10-20"
3,7,0.0833333333333333,14,"2021-10-20"
3,8,0.116666666666667,14,"2021-10-20"
3,9,0.0333333333333333,14,"2021-10-20"
3,10,0.0666666666666667,14,"2021-10-20"
4,5,0.05,14,"2021-10-20"
4,6,0.116666666666667,14,"2021-10-20"
4,7,0.25,14,"2021-10-20"
4,8,0.25,14,"2021-10-20"
4,9,0.15,14,"2021-10-20"
4,10,0.1,14,"2021-10-20"
5,6,0.266666666666667,14,"2021-10-20"
5,7,0.133333333333333,14,"2021-10-20"
5,8,0.2,14,"2021-10-20"
5,9,0.166666666666667,14,"2021-10-20"
5,10,0.1,14,"2021-10-20"
6,7,0.533333333333333,14,"2021-10-20"
6,8,0.383333333333333,14,"2021-10-20"
6,9,0.5,14,"2021-10-20"
6,10,0.2,14,"2021-10-20"
7,8,0.633333333333333,14,"2021-10-20"
7,9,0.583333333333333,14,"2021-10-20"
7,10,0.333333333333333,14,"2021-10-20"
8,9,0.816666666666667,14,"2021-10-20"
8,10,0.583333333333333,14,"2021-10-20"
9,10,1.15,14,"2021-10-20"
1,2,0.0166666666666667,15,"2021-10-20"
1,3,0.05,15,"2021-10-20"
1,5,0.0166666666666667,15,"2021-10-20"
1,6,0.05,15,"2021-10-20"
1,7,0.05,15,"2021-10-20"
1,8,0.0333333333333333,15,"2021-10-20"
1,9,0.05,15,"2021-10-20"
1,10,0.0166666666666667,15,"2021-10-20"
2,3,0.05,15,"2021-10-20"
2,4,0.05,15,"2021-10-20"
2,5,0.05,15,"2021-10-20"
2,6,0.133333333333333,15,"2021-10-20"
2,7,0.1,15,"2021-10-20"
2,8,0.05,15,"2021-10-20"
2,9,0.0833333333333333,15,"2021-10-20"
3,4,0.05,15,"2021-10-20"
3,5,0.0666666666666667,15,"2021-10-20"
3,6,0.0833333333333333,15,"2021-10-20"
3,7,0.183333333333333,15,"2021-10-20"
3,8,0.25,15,"2021-10-20"
3,9,0.1,15,"2021-10-20"
3,10,0.05,15,"2021-10-20"
4,5,0.15,15,"2021-10-20"
4,6,0.116666666666667,15,"2021-10-20"
4,7,0.166666666666667,15,"2021-10-20"
4,8,0.133333333333333,15,"2021-10-20"
4,9,0.15,15,"2021-10-20"
4,10,0.15,15,"2021-10-20"
5,6,0.216666666666667,15,"2021-10-20"
5,7,0.216666666666667,15,"2021-10-20"
5,8,0.3,15,"2021-10-20"
5,9,0.233333333333333,15,"2021-10-20"
5,10,0.133333333333333,15,"2021-10-20"
6,7,0.433333333333333,15,"2021-10-20"
6,8,0.433333333333333,15,"2021-10-20"
6,9,0.383333333333333,15,"2021-10-20"
6,10,0.383333333333333,15,"2021-10-20"
7,8,0.483333333333333,15,"2021-10-20"
7,9,0.65,15,"2021-10-20"
7,10,0.45,15,"2021-10-20"
8,9,0.883333333333333,15,"2021-10-20"
8,10,0.516666666666667,15,"2021-10-20"
9,10,1.26666666666667,15,"2021-10-20"
1,2,0.0166666666666667,16,"2021-10-20"
1,3,0.05,16,"2021-10-20"
1,4,0.0833333333333333,16,"2021-10-20"
1,5,0.0166666666666667,16,"2021-10-20"
1,6,0.1,16,"2021-10-20"
1,7,0.0833333333333333,16,"2021-10-20"
1,8,0.0666666666666667,16,"2021-10-20"
1,9,0.133333333333333,16,"2021-10-20"
1,10,0.0166666666666667,16,"2021-10-20"
2,3,0.0666666666666667,16,"2021-10-20"
2,4,0.116666666666667,16,"2021-10-20"
2,5,0.0666666666666667,16,"2021-10-20"
2,6,0.1,16,"2021-10-20"
2,7,0.1,16,"2021-10-20"
2,8,0.133333333333333,16,"2021-10-20"
2,9,0.133333333333333,16,"2021-10-20"
2,10,0.116666666666667,16,"2021-10-20"
3,4,0.15,16,"2021-10-20"
3,5,0.116666666666667,16,"2021-10-20"
3,6,0.116666666666667,16,"2021-10-20"
3,7,0.2,16,"2021-10-20"
3,8,0.15,16,"2021-10-20"
3,9,0.0666666666666667,16,"2021-10-20"
3,10,0.133333333333333,16,"2021-10-20"
4,5,0.183333333333333,16,"2021-10-20"
4,6,0.25,16,"2021-10-20"
4,7,0.2,16,"2021-10-20"
4,8,0.333333333333333,16,"2021-10-20"
4,9,0.266666666666667,16,"2021-10-20"
4,10,0.133333333333333,16,"2021-10-20"
5,6,0.316666666666667,16,"2021-10-20"
5,7,0.35,16,"2021-10-20"
5,8,0.266666666666667,16,"2021-10-20"
5,9,0.233333333333333,16,"2021-10-20"
5,10,0.266666666666667,16,"2021-10-20"
6,7,0.683333333333333,16,"2021-10-20"
6,8,0.583333333333333,16,"2021-10-20"
6,9,0.433333333333333,16,"2021-10-20"
6,10,0.283333333333333,16,"2021-10-20"
7,8,0.966666666666667,16,"2021-10-20"
7,9,0.85,16,"2021-10-20"
7,10,0.45,16,"2021-10-20"
8,9,1.13333333333333,16,"2021-10-20"
8,10,0.9,16,"2021-10-20"
9,10,2,16,"2021-10-20"
1,2,0.0833333333333333,17,"2021-10-20"
1,3,0.0166666666666667,17,"2021-10-20"
1,4,0.0333333333333333,17,"2021-10-20"
1,5,0.0333333333333333,17,"2021-10-20"
1,6,0.05,17,"2021-10-20"
1,7,0.0666666666666667,17,"2021-10-20"
1,8,0.0166666666666667,17,"2021-10-20"
1,9,0.05,17,"2021-10-20"
1,10,0.0166666666666667,17,"2021-10-20"
2,3,0.0166666666666667,17,"2021-10-20"
2,4,0.0833333333333333,17,"2021-10-20"
2,6,0.183333333333333,17,"2021-10-20"
2,7,0.15,17,"2021-10-20"
2,8,0.116666666666667,17,"2021-10-20"
2,9,0.116666666666667,17,"2021-10-20"
2,10,0.0166666666666667,17,"2021-10-20"
3,4,0.133333333333333,17,"2021-10-20"
3,5,0.05,17,"2021-10-20"
3,6,0.25,17,"2021-10-20"
3,7,0.183333333333333,17,"2021-10-20"
3,8,0.15,17,"2021-10-20"
3,9,0.183333333333333,17,"2021-10-20"
3,10,0.0666666666666667,17,"2021-10-20"
4,5,0.116666666666667,17,"2021-10-20"
4,6,0.2,17,"2021-10-20"
4,7,0.266666666666667,17,"2021-10-20"
4,8,0.283333333333333,17,"2021-10-20"
4,9,0.283333333333333,17,"2021-10-20"
4,10,0.15,17,"2021-10-20"
5,6,0.35,17,"2021-10-20"
5,7,0.316666666666667,17,"2021-10-20"
5,8,0.333333333333333,17,"2021-10-20"
